jahr	bundesland	tote100k	baseline	excess
2020	Baden-W端rttemberg	21297.77232588465	20773.566567271733	0.025234268603581578
2020	Bayern	22521.166243367596	21546.873374093248	0.045217366453073504
2020	Berlin	20997.992864206306	20237.005605821334	0.037603747965858636
2020	Brandenburg	22055.1262256431	21342.168369934032	0.0334060646205685
2020	Bremen	21377.208695531226	21264.744618962235	0.00528875745202706
2020	Hamburg	21038.35851863388	20791.283304221954	0.011883596158865029
2020	Hessen	22211.490487221177	21541.84722284336	0.031085693694258287
2020	Mecklenburg-Vorpomme	20750.59298505404	21404.567736162517	-0.030553046395027206
2020	Niedersachsen	22085.625314194116	22388.84066872156	-0.0135431467405569
2020	Nordrhein-Westfalen	22210.4740390405	22009.967146683954	0.00910982242818803
2020	Rheinland-Pfalz	22290.37300696128	22056.93017789649	0.010583649999432954
2020	Saarland	23135.637096666615	22940.597620037737	0.008501935296511887
2020	Sachsen	24200.19659209966	21367.934891869467	0.13254728239123725
2020	Sachsen-Anhalt	23011.987137247233	22793.30697864705	0.009594051394343328
2020	Schleswig-Holstein	21003.326108517474	22443.014319459504	-0.06414861169935315
2020	Th端ringen	22861.507091965275	22625.340600888394	0.010438140810468344
2021	Baden-W端rttemberg	15949.056985810199	16054.67378325531	-0.006578570132970696
2021	Bayern	16797.014306373545	16649.845500450523	0.00883904934247215
2021	Berlin	15747.839328702881	15730.711241371246	0.0010888310813683688
2021	Brandenburg	17587.97872607879	16585.470410857317	0.060444973243882316
2021	Bremen	16045.98449576936	16428.783181385665	-0.023300489232216948
2021	Hamburg	16064.63016402309	16046.277509506539	0.0011437328380790035
2021	Hessen	16921.995823653204	16699.66989154518	0.013313193227884268
2021	Mecklenburg-Vorpomme	17345.892621701667	16619.933790555802	0.043680007411244226
2021	Niedersachsen	17101.609803665535	17417.75211429676	-0.018150580428328067
2021	Nordrhein-Westfalen	16996.087992684817	17093.238673456144	-0.005683573641441675
2021	Rheinland-Pfalz	17045.242348346193	17149.623144879853	-0.0060864775658246995
2021	Saarland	17849.136861847463	17903.148370654053	-0.0030168720991623488
2021	Sachsen	17332.679052915366	16596.369684572317	0.04436568854136258
2021	Sachsen-Anhalt	18944.220685502805	17753.879605534632	0.06704681491684172
2021	Schleswig-Holstein	16806.76018865043	17425.52528341661	-0.03550912151583974
2021	Th端ringen	18801.413229743343	17582.341213653144	0.06933502206995934
